date_mesure,geocode_region,libelle_region,valeur
2024-01-01T00:00:00.000,01,Guadeloupe,384160
2024-01-01T00:00:00.000,94,Corse,355486
2015-01-01T00:00:00.000,53,Bretagne,3293850
2009-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,7517045
2022-01-01T00:00:00.000,04,La Réunion,881348
2019-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,5081101
2013-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2819783
2021-01-01T00:00:00.000,11,Île-de-France,12317279
2019-01-01T00:00:00.000,76,Occitanie,5933185
2021-01-01T00:00:00.000,76,Occitanie,6022176
2008-01-01T00:00:00.000,53,Bretagne,3149701
2014-01-01T00:00:00.000,24,Centre-Val de Loire,2577435
2008-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5671076
2024-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2802670
2022-01-01T00:00:00.000,76,Occitanie,6080731
2011-01-01T00:00:00.000,44,Grand Est,5539081
2015-01-01T00:00:00.000,11,Île-de-France,12082144
2018-01-01T00:00:00.000,53,Bretagne,3335414
2021-01-01T00:00:00.000,24,Centre-Val de Loire,2573303
2014-01-01T00:00:00.000,01,Guadeloupe,400186
2017-01-01T00:00:00.000,32,Hauts-de-France,6003472
2015-01-01T00:00:00.000,52,Pays de la Loire,3712258
2012-01-01T00:00:00.000,32,Hauts-de-France,5972697
2021-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2800194
2011-01-01T00:00:00.000,32,Hauts-de-France,5959766
2010-01-01T00:00:00.000,03,Guyane,229040
2011-01-01T00:00:00.000,76,Occitanie,5573466
2022-01-01T00:00:00.000,28,Normandie,3339074
2024-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,8204733
2013-01-01T00:00:00.000,32,Hauts-de-France,5987483
2014-01-01T00:00:00.000,02,Martinique,383911
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,8163050
2010-01-01T00:00:00.000,24,Centre-Val de Loire,2548065
2006-01-01T00:00:00.000,53,Bretagne,3094534
2018-01-01T00:00:00.000,52,Pays de la Loire,3774865
2010-01-01T00:00:00.000,76,Occitanie,5518106
2008-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,4882913
2006-01-01T00:00:00.000,24,Centre-Val de Loire,2519567
2016-01-01T00:00:00.000,94,Corse,330455
2019-01-01T00:00:00.000,52,Pays de la Loire,3799817
2023-01-01T00:00:00.000,24,Centre-Val de Loire,2587031
2014-01-01T00:00:00.000,44,Grand Est,5554694
2016-01-01T00:00:00.000,44,Grand Est,5555186
2025-01-01T00:00:00.000,32,Hauts-de-France,5991855
2007-01-01T00:00:00.000,11,Île-de-France,11598866
2023-01-01T00:00:00.000,04,La Réunion,889679
2021-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,5127840
2013-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5844177
2022-01-01T00:00:00.000,32,Hauts-de-France,5998579
2022-01-01T00:00:00.000,03,Guyane,288382
2017-01-01T00:00:00.000,24,Centre-Val de Loire,2576252
2016-01-01T00:00:00.000,32,Hauts-de-France,6006526
2007-01-01T00:00:00.000,53,Bretagne,3120288
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,6113384
2007-01-01T00:00:00.000,04,La Réunion,794107
2012-01-01T00:00:00.000,02,Martinique,388364
2010-01-01T00:00:00.000,02,Martinique,394173
2024-01-01T00:00:00.000,32,Hauts-de-France,5991855
2019-01-01T00:00:00.000,32,Hauts-de-France,6004606
2025-01-01T00:00:00.000,76,Occitanie,6124653
2008-01-01T00:00:00.000,76,Occitanie,5419946
2014-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,7819962
2011-01-01T00:00:00.000,53,Bretagne,3217767
2014-01-01T00:00:00.000,53,Bretagne,3276543
2007-01-01T00:00:00.000,01,Guadeloupe,400584
2015-01-01T00:00:00.000,28,Normandie,3339131
2016-01-01T00:00:00.000,04,La Réunion,852924
2014-01-01T00:00:00.000,11,Île-de-France,12027565
2023-01-01T00:00:00.000,94,Corse,355486
2020-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2801695
2019-01-01T00:00:00.000,03,Guyane,281678
2018-01-01T00:00:00.000,44,Grand Est,5550389
2022-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2803977
2016-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,5021928
2023-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,8204733
2011-01-01T00:00:00.000,04,La Réunion,828581
2020-01-01T00:00:00.000,53,Bretagne,3373835
2016-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2818338
2015-01-01T00:00:00.000,03,Guyane,259865
2006-01-01T00:00:00.000,32,Hauts-de-France,5912586
2015-01-01T00:00:00.000,44,Grand Est,5559051
2012-01-01T00:00:00.000,44,Grand Est,5549000
2020-01-01T00:00:00.000,04,La Réunion,863083
2008-01-01T00:00:00.000,03,Guyane,219266
2012-01-01T00:00:00.000,52,Pays de la Loire,3626642
2019-01-01T00:00:00.000,11,Île-de-France,12262544
2010-01-01T00:00:00.000,53,Bretagne,3199066
2006-01-01T00:00:00.000,02,Martinique,397732
2014-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,4983438
2025-01-01T00:00:00.000,04,La Réunion,889679
2006-01-01T00:00:00.000,03,Guyane,205954
2007-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5627671
2025-01-01T00:00:00.000,94,Corse,355486
2022-01-01T00:00:00.000,94,Corse,351276
2011-01-01T00:00:00.000,52,Pays de la Loire,3595207
2009-01-01T00:00:00.000,24,Centre-Val de Loire,2538590
2020-01-01T00:00:00.000,28,Normandie,3325522
2024-01-01T00:00:00.000,53,Bretagne,3449370
2006-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,4815232
2011-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2816174
2020-01-01T00:00:00.000,01,Guadeloupe,383559
2025-01-01T00:00:00.000,11,Île-de-France,12463067
2014-01-01T00:00:00.000,04,La Réunion,842767
2009-01-01T00:00:00.000,53,Bretagne,3175064
2011-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5773078
2024-01-01T00:00:00.000,03,Guyane,293996
2021-01-01T00:00:00.000,04,La Réunion,871157
2007-01-01T00:00:00.000,76,Occitanie,5371117
2009-01-01T00:00:00.000,76,Occitanie,5473597
2025-01-01T00:00:00.000,24,Centre-Val de Loire,2587031
2011-01-01T00:00:00.000,94,Corse,314486
2008-01-01T00:00:00.000,04,La Réunion,808250
2012-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5808594
2006-01-01T00:00:00.000,11,Île-de-France,11532398
2014-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5879144
2019-01-01T00:00:00.000,02,Martinique,364508
2020-01-01T00:00:00.000,75,Nouvelle-Aquitaine,6033952
2021-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,8113491
2015-01-01T00:00:00.000,32,Hauts-de-France,6009632
2015-01-01T00:00:00.000,24,Centre-Val de Loire,2578592
2022-01-01T00:00:00.000,01,Guadeloupe,383569
2018-01-01T00:00:00.000,11,Île-de-France,12213447
2018-01-01T00:00:00.000,01,Guadeloupe,387629
2015-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,5007977
2010-01-01T00:00:00.000,52,Pays de la Loire,3565667
2017-01-01T00:00:00.000,04,La Réunion,853659
2023-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,5218960
2007-01-01T00:00:00.000,24,Centre-Val de Loire,2526919
2025-01-01T00:00:00.000,02,Martinique,360630
2006-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2779461
2015-01-01T00:00:00.000,04,La Réunion,850727
2007-01-01T00:00:00.000,32,Hauts-de-France,5921613
2016-01-01T00:00:00.000,76,Occitanie,5808435
2014-01-01T00:00:00.000,76,Occitanie,5730753
2008-01-01T00:00:00.000,11,Île-de-France,11659260
2006-01-01T00:00:00.000,52,Pays de la Loire,3445032
2013-01-01T00:00:00.000,44,Grand Est,5552435
2013-01-01T00:00:00.000,03,Guyane,244118
2010-01-01T00:00:00.000,32,Hauts-de-France,5952590
2020-01-01T00:00:00.000,52,Pays de la Loire,3825385
2022-01-01T00:00:00.000,52,Pays de la Loire,3872381
2009-01-01T00:00:00.000,52,Pays de la Loire,3533356
2015-01-01T00:00:00.000,94,Corse,327283
2021-01-01T00:00:00.000,94,Corse,347597
2018-01-01T00:00:00.000,02,Martinique,368783
2025-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,8204733
2021-01-01T00:00:00.000,75,Nouvelle-Aquitaine,6069352
2009-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5708497
2008-01-01T00:00:00.000,52,Pays de la Loire,3504543
2022-01-01T00:00:00.000,44,Grand Est,5560079
